,kepid,kepoi_name,kepler_name,koi_disposition,koi_period,koi_duration,koi_depth,koi_prad,koi_steff,koi_srad,koi_teq
1350,5794240,K00254.01,Kepler-45 b,CONFIRMED,2.455240626,1.72722,36911.9,10.6,3793.0,0.568,730.0
1351,6933567,K02643.01,Kepler-1301 b,CONFIRMED,9.08233411,2.008,296.9,1.35,5354.0,0.788,734.0
1352,9654468,K02417.01,Kepler-1684 b,CONFIRMED,47.7052566,5.959,1161.5,2.89,4551.0,0.672,347.0
1353,4349452,K00244.02,Kepler-25 b,CONFIRMED,6.238535444,3.5255,401.6,2.53,6267.0,1.258,1185.0
1354,10027247,K02418.01,Kepler-1229 b,CONFIRMED,86.829519,7.464,751.0,1.68,3576.0,0.463,196.0
1355,6343170,K02419.01,Kepler-1230 b,CONFIRMED,9.95667035,3.534,586.8,3.41,6165.0,1.115,946.0
1356,7107802,K02420.01,Kepler-1231 b,CONFIRMED,10.41728722,4.125,210.4,1.64,5557.0,1.151,870.0
1357,11752632,K02492.01,Kepler-1258 b,CONFIRMED,0.984941669,1.9724,81.4,1.49,5825.0,1.662,2335.0
1358,10028535,K02493.01,Kepler-1259 b,CONFIRMED,0.663085361,1.1522,322.7,1.6,5172.0,0.767,1681.0
1359,7047207,K02494.01,Kepler-1260 b,CONFIRMED,19.1187425,6.805,217.5,2.33,5862.0,1.463,823.0
1360,9757613,K00250.03,Kepler-26 d,CONFIRMED,3.543919702,1.8717,507.0,1.21,3879.0,0.537,652.0
1361,11962284,K02647.01,Kepler-1302 b,CONFIRMED,8.83929462,1.719,316.2,1.94,5330.0,0.87,778.0
1362,6842682,K02649.01,Kepler-1303 b,CONFIRMED,7.56126152,2.851,180.6,1.2,5853.0,0.895,891.0
1363,8890150,K02650.01,Kepler-395 c,CONFIRMED,34.9897847,4.208,498.5,1.14,3765.0,0.521,292.0
1364,8890150,K02650.02,Kepler-395 b,CONFIRMED,7.05429483,1.716,359.3,1.0,3765.0,0.521,497.0
1365,11360805,K02422.01,Kepler-1232 b,CONFIRMED,26.7838935,4.584,365.3,1.59,5242.0,0.856,523.0
1366,9845898,K02423.01,Kepler-1233 b,CONFIRMED,45.126216,6.656,373.1,2.32,6499.0,1.169,604.0
1367,12453581,K02424.01,Kepler-1234 b,CONFIRMED,11.94019101,2.866,631.7,1.86,5073.0,0.748,625.0
1368,11179076,K02497.01,Kepler-1261 b,CONFIRMED,48.4313003,4.03,886.4,2.78,4891.0,0.805,396.0
